"filename", "language", "YAML", "Go Work File", "Docker", "Makefile", "Go", "Properties", "Go Module File", "Go Checksum File", "JavaScript", "Markdown", "PostCSS", "vue", "TypeScript", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/LoginView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EntregasView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -2, -5
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EstudiantesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/ExamenesInstructor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorDashboard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorPerfilView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 1, 8
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/MensajesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 7, 1, 34
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/StoreView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, -2, 31
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/VerificarConstancia.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 7, 34, 280
