"filename", "language", "Docker", "Go Module File", "Python", "YAML", "Properties", "Go Work File", "MS SQL", "Go", "Makefile", "Markdown", "Ignore", "Go Checksum File", "JavaScript", "JSON", "Dotenv", "HTML", "TypeScript", "vue", "JSON with Comments", "XML", "PostCSS", "Shell Script", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CameraCapture.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 4, 35, 284
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CartDrawer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479, 0, 0, 0, 0, 13, 52, 544
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/ContentTypeSelector.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 5, 191
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 19, 146
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseEditorDrawer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 17, 32, 336
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseSidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 6, 30, 360
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseTreeEditor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1172, 0, 0, 0, 0, 18, 129, 1319
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseWizardModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 21, 276
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CreateGroupModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 1, 21, 221
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3EmpresaInstructor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 11, 33, 280
