"filename", "language", "YAML", "Go Module File", "Dotenv", "Docker", "Go Work File", "Go", "Python", "Makefile", "Ignore", "Go Checksum File", "Shell Script", "JSON", "TypeScript", "HTML", "Properties", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseEditorDrawer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 20, 186
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseWizardModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 23, 282
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CreateGroupModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 1, 20, 197
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DashboardCharts.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 8, 178
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DragDropUpload.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 40, 304
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/EmptyState.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 4, 56
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GradientPicker.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 7, 93
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 42
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/LessonList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 462, 0, 0, 0, 0, 29, 491
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/NotificationBell.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 42, 334
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/SearchUserModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 16, 142
