Date : 2026-06-25 16:23:22
Directory : /home/MictDev/Projects/Capacitaciones-mh
Total : 209 files,  47167 codes, 1282 comments, 4737 blanks, all 53186 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Go                 |         92 |     22,227 |      1,038 |      3,075 |     26,340 |
| vue                |         50 |     13,422 |        122 |      1,275 |     14,819 |
| JSON               |          5 |      7,784 |          0 |          8 |      7,792 |
| Python             |          2 |        818 |          0 |         10 |        828 |
| Go Checksum File   |         10 |        811 |          0 |         10 |        821 |
| PostCSS            |          2 |        639 |          1 |         68 |        708 |
| TypeScript         |         13 |        593 |         26 |         93 |        712 |
| Go Module File     |         10 |        279 |          2 |         49 |        330 |
| YAML               |          4 |        244 |         39 |         31 |        314 |
| Docker             |         10 |        172 |         10 |         76 |        258 |
| Shell Script       |          1 |         38 |         17 |         11 |         66 |
| Makefile           |          1 |         36 |         20 |         13 |         69 |
| JavaScript         |          2 |         23 |          1 |          2 |         26 |
| Properties         |          1 |         21 |          4 |          6 |         31 |
| HTML               |          1 |         17 |          0 |          1 |         18 |
| Go Work File       |          1 |         13 |          2 |          2 |         17 |
| Ignore             |          1 |         11 |          0 |          4 |         15 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Dotenv             |          1 |          7 |          0 |          1 |          8 |
| XML                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        209 |     47,167 |      1,282 |      4,737 |     53,186 |
| . (Files)                                                                                               |         13 |      1,532 |         83 |        109 |      1,724 |
| .github                                                                                                 |          1 |         41 |          2 |         11 |         54 |
| .github/workflows                                                                                       |          1 |         41 |          2 |         11 |         54 |
| frontend                                                                                                |         77 |     22,522 |        156 |      1,457 |     24,135 |
| frontend (Files)                                                                                        |         14 |      7,915 |         10 |         29 |      7,954 |
| frontend/src                                                                                            |         63 |     14,607 |        146 |      1,428 |     16,181 |
| frontend/src (Files)                                                                                    |          3 |         53 |          2 |         14 |         69 |
| frontend/src/assets                                                                                     |          3 |        640 |          1 |         69 |        710 |
| frontend/src/components                                                                                 |         24 |      3,259 |          5 |        367 |      3,631 |
