Date : 2026-06-25 16:23:22
Directory : /home/MictDev/Projects/Capacitaciones-mh
Total : 209 files,  47167 codes, 1282 comments, 4737 blanks, all 53186 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/helpers.go                                   | Go                 |         17 |          0 |          4 |         21 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/instructor.go                                | Go                 |        539 |          2 |         51 |        592 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/intermedias.go                               | Go                 |        190 |          0 |         33 |        223 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/lecciones.go                                 | Go                 |        241 |          1 |         34 |        276 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/migrate.go                                   | Go                 |        122 |          9 |         22 |        153 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/notificaciones.go                            | Go                 |         88 |          2 |         15 |        105 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/perfil.go                                    | Go                 |        201 |          4 |         25 |        230 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/presign.go                                   | Go                 |         62 |          5 |         11 |         78 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/recaptcha.go                                 | Go                 |         43 |          0 |          6 |         49 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/scoring.go                                   | Go                 |         26 |          5 |          4 |         35 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/scoring_test.go                              | Go                 |         74 |          2 |          7 |         83 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/usuarios.go                                  | Go                 |        105 |          2 |         14 |        121 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/handlers/validation.go                                | Go                 |         68 |          6 |          7 |         81 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/middleware/auth.go                                    | Go                 |         79 |          6 |         16 |        101 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/middleware/auth_test.go                               | Go                 |        115 |          6 |         25 |        146 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/middleware/ratelimit.go                               | Go                 |         81 |          2 |         10 |         93 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/models/models.go                                      | Go                 |        137 |          0 |         16 |        153 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/repository/user.go                                    | Go                 |         64 |         16 |         13 |         93 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/sanitize/sanitize.go                                  | Go                 |         10 |         10 |          6 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/service/auth_service.go                               | Go                 |         85 |         23 |         23 |        131 |
| /home/MictDev/Projects/Capacitaciones-mh/internal/storage/r2.go                                         | Go                 |        226 |         27 |         35 |        288 |
| /home/MictDev/Projects/Capacitaciones-mh/main.go                                                        | Go                 |        211 |         21 |         42 |        274 |
| /home/MictDev/Projects/Capacitaciones-mh/scripts/backup_db.sh                                           | Shell Script       |         38 |         17 |         11 |         66 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/Dockerfile                                       | Docker             |         16 |          1 |         10 |         27 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/cmd/server/main.go                               | Go                 |        117 |         12 |         19 |        148 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/go.mod                                           | Go Module File     |         24 |          0 |          5 |         29 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/go.sum                                           | Go Checksum File   |         71 |          0 |          1 |         72 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/internal/config/config.go                        | Go                 |         75 |         14 |         16 |        105 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/internal/handler/auth_handler.go                 | Go                 |        103 |          8 |         17 |        128 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/internal/model/user.go                           | Go                 |         11 |          2 |          3 |         16 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/internal/repository/user_repository.go           | Go                 |         85 |         10 |         16 |        111 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/internal/service/auth_service.go                 | Go                 |        305 |         21 |         60 |        386 |
| /home/MictDev/Projects/Capacitaciones-mh/services/auth/internal/service/smtp.go                         | Go                 |         14 |          1 |          4 |         19 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/Dockerfile                                     | Docker             |         16 |          0 |          6 |         22 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/cmd/server/main.go                             | Go                 |        116 |          6 |         15 |        137 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/go.mod                                         | Go Module File     |         23 |          0 |          5 |         28 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/go.sum                                         | Go Checksum File   |         75 |          0 |          1 |         76 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/internal/handler/cursos_handler.go             | Go                 |        216 |         11 |         40 |        267 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/internal/repository/cursos_repository.go       | Go                 |        361 |          9 |         51 |        421 |
| /home/MictDev/Projects/Capacitaciones-mh/services/cursos/internal/service/cursos_service.go             | Go                 |        296 |         12 |         43 |        351 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/Dockerfile                                   | Docker             |         16 |          0 |          6 |         22 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/cmd/server/main.go                           | Go                 |        107 |          2 |         12 |        121 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/go.mod                                       | Go Module File     |         21 |          0 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/go.sum                                       | Go Checksum File   |         67 |          0 |          1 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/internal/handler/examenes_handler.go         | Go                 |         93 |          3 |         21 |        117 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/internal/repository/examenes_repository.go   | Go                 |        257 |          6 |         33 |        296 |
| /home/MictDev/Projects/Capacitaciones-mh/services/examenes/internal/service/examenes_service.go         | Go                 |        136 |          4 |         20 |        160 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/Dockerfile                                      | Docker             |         16 |          0 |          6 |         22 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/cmd/server/main.go                              | Go                 |        110 |          2 |         12 |        124 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/go.mod                                          | Go Module File     |         21 |          0 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/go.sum                                          | Go Checksum File   |         67 |          0 |          1 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/internal/handler/foros_handler.go               | Go                 |         67 |          1 |         14 |         82 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/internal/repository/foros_repository.go         | Go                 |        273 |          2 |         24 |        299 |
| /home/MictDev/Projects/Capacitaciones-mh/services/foros/internal/service/foros_service.go               | Go                 |         57 |          0 |         12 |         69 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/Dockerfile                                  | Docker             |         16 |          0 |          6 |         22 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/cmd/server/main.go                          | Go                 |        116 |          2 |         12 |        130 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/go.mod                                      | Go Module File     |         21 |          0 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/go.sum                                      | Go Checksum File   |         67 |          0 |          1 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/internal/handler/lecciones_handler.go       | Go                 |         98 |          1 |         20 |        119 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/internal/repository/lecciones_repository.go | Go                 |        198 |          4 |         26 |        228 |
| /home/MictDev/Projects/Capacitaciones-mh/services/lecciones/internal/service/lecciones_service.go       | Go                 |        111 |          2 |         22 |        135 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/Dockerfile                                   | Docker             |         16 |          0 |          6 |         22 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/cmd/server/main.go                           | Go                 |        104 |          2 |         12 |        118 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/go.mod                                       | Go Module File     |         21 |          0 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/go.sum                                       | Go Checksum File   |         67 |          0 |          1 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/internal/handler/mensajes_handler.go         | Go                 |         81 |          0 |         17 |         98 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/internal/repository/mensajes_repository.go   | Go                 |        237 |          6 |         28 |        271 |
| /home/MictDev/Projects/Capacitaciones-mh/services/mensajes/internal/service/mensajes_service.go         | Go                 |        135 |          5 |         18 |        158 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/Dockerfile                                   | Docker             |         16 |          0 |          6 |         22 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/cmd/server/main.go                           | Go                 |         54 |          1 |         12 |         67 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/go.mod                                       | Go Module File     |         21 |          0 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/go.sum                                       | Go Checksum File   |         67 |          0 |          1 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/internal/handler/usuarios_handler.go         | Go                 |         86 |          5 |         15 |        106 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/internal/repository/usuario_repository.go    | Go                 |        119 |          6 |         18 |        143 |
| /home/MictDev/Projects/Capacitaciones-mh/services/usuarios/internal/service/usuarios_service.go         | Go                 |         69 |          3 |         13 |         85 |
| /home/MictDev/Projects/Capacitaciones-mh/write_clean.py                                                 | Python             |        790 |          0 |          6 |        796 |
| Total                                                                                                   |                    |     47,167 |      1,282 |      4,737 |     53,186 |
+---------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
