Date : 2026-05-27 17:30:29
Directory : c:\Proyectos\capacitaciones'mh
Total : 86 files,  20998 codes, 78 comments, 1427 blanks, all 22503 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\TheWelcome.vue                     | vue                |         82 |          0 |         14 |         96 |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\WelcomeItem.vue                    | vue                |         76 |          0 |         11 |         87 |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\icons\IconCommunity.vue            | vue                |          7 |          0 |          1 |          8 |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\icons\IconDocumentation.vue        | vue                |          7 |          0 |          1 |          8 |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\icons\IconEcosystem.vue            | vue                |          7 |          0 |          1 |          8 |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\icons\IconSupport.vue              | vue                |          7 |          0 |          1 |          8 |
| c:\Proyectos\capacitaciones'mh\frontend\src\components\icons\IconTooling.vue              | vue                |         18 |          0 |          1 |         19 |
| c:\Proyectos\capacitaciones'mh\frontend\src\main.ts                                       | TypeScript         |         10 |          0 |          6 |         16 |
| c:\Proyectos\capacitaciones'mh\frontend\src\router\index.ts                               | TypeScript         |         69 |          0 |          5 |         74 |
| c:\Proyectos\capacitaciones'mh\frontend\src\stores\auth.ts                                | TypeScript         |         38 |          0 |          6 |         44 |
| c:\Proyectos\capacitaciones'mh\frontend\src\stores\counter.ts                             | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Proyectos\capacitaciones'mh\frontend\src\utils\recaptcha.ts                            | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Proyectos\capacitaciones'mh\frontend\src\utils\toast.ts                                | TypeScript         |        122 |          0 |          8 |        130 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\AboutView.vue                           | vue                |         14 |          0 |          2 |         16 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\HomeView.vue                            | vue                |          8 |          0 |          2 |         10 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\LoginView.vue                           | vue                |        449 |          0 |         38 |        487 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\UnirseView.vue                          | vue                |        142 |          0 |         15 |        157 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\AdminDashboard.vue                | vue                |        190 |          0 |         20 |        210 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\AdminLayout.vue                   | vue                |         98 |          0 |          7 |        105 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\CapacitacionesView.vue            | vue                |        547 |          0 |         49 |        596 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\ExamenesView.vue                  | vue                |        283 |          0 |         28 |        311 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\UsuariosView.vue                  | vue                |        271 |          0 |         27 |        298 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\CapacitacionesInstructor.vue | vue                |        225 |          0 |         26 |        251 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\EstudiantesView.vue          | vue                |        267 |          0 |         19 |        286 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\ExamenesInstructor.vue       | vue                |        705 |          1 |         64 |        770 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\InstructorLayout.vue         | vue                |         98 |          0 |          7 |        105 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\InstructorPerfilView.vue     | vue                |        255 |          0 |         20 |        275 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\shared\PublicProfileView.vue            | vue                |        287 |          0 |         38 |        325 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\DashboardView.vue                  | vue                |        359 |          3 |         26 |        388 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\ExamenFormView.vue                 | vue                |        481 |         11 |         29 |        521 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\MisCapacitaciones.vue              | vue                |        906 |          2 |         86 |        994 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\MisExamenes.vue                    | vue                |        378 |         12 |         36 |        426 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\PerfilView.vue                     | vue                |        439 |          8 |         36 |        483 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\ResponderExamen.vue                | vue                |        190 |          4 |         18 |        212 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\UserLayout.vue                     | vue                |         98 |          0 |          7 |        105 |
| c:\Proyectos\capacitaciones'mh\frontend\src\views\user\VerCapacitacion.vue                | vue                |      1,605 |         34 |        125 |      1,764 |
| c:\Proyectos\capacitaciones'mh\frontend\tailwind.config.js                                | JavaScript         |         17 |          1 |          1 |         19 |
| c:\Proyectos\capacitaciones'mh\frontend\tsconfig.app.json                                 | JSON               |         12 |          0 |          2 |         14 |
| c:\Proyectos\capacitaciones'mh\frontend\tsconfig.json                                     | JSON with Comments |         11 |          0 |          1 |         12 |
| c:\Proyectos\capacitaciones'mh\frontend\tsconfig.node.json                                | JSON               |         17 |          0 |          3 |         20 |
| c:\Proyectos\capacitaciones'mh\frontend\vite.config.ts                                    | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Proyectos\capacitaciones'mh\go.mod                                                     | Go Module File     |         37 |          0 |          3 |         40 |
| c:\Proyectos\capacitaciones'mh\go.sum                                                     | Go Checksum File   |         92 |          0 |          1 |         93 |
| c:\Proyectos\capacitaciones'mh\internal\db\db.go                                          | Go                 |         44 |          0 |          9 |         53 |
| c:\Proyectos\capacitaciones'mh\internal\db\schema.go                                      | Go                 |        182 |          0 |         29 |        211 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\auth.go                                  | Go                 |        175 |          0 |         24 |        199 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\capacitaciones.go                        | Go                 |        197 |          0 |         16 |        213 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\email.go                                 | Go                 |         64 |          0 |          7 |         71 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\examenes.go                              | Go                 |        405 |          0 |         38 |        443 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\foros.go                                 | Go                 |        164 |          0 |         23 |        187 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\instructor.go                            | Go                 |        514 |          1 |         49 |        564 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\intermedias.go                           | Go                 |        185 |          0 |         33 |        218 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\lecciones.go                             | Go                 |        228 |          0 |         34 |        262 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\perfil.go                                | Go                 |        171 |          0 |         17 |        188 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\recaptcha.go                             | Go                 |         44 |          0 |          5 |         49 |
| c:\Proyectos\capacitaciones'mh\internal\handlers\usuarios.go                              | Go                 |         85 |          0 |         13 |         98 |
| c:\Proyectos\capacitaciones'mh\internal\middleware\auth.go                                | Go                 |         59 |          0 |          8 |         67 |
| c:\Proyectos\capacitaciones'mh\internal\middleware\ratelimit.go                           | Go                 |         63 |          0 |          8 |         71 |
| c:\Proyectos\capacitaciones'mh\internal\models\models.go                                  | Go                 |        124 |          0 |         15 |        139 |
| c:\Proyectos\capacitaciones'mh\main.go                                                    | Go                 |        152 |          0 |         31 |        183 |
| c:\Proyectos\capacitaciones'mh\write_clean.py                                             | Python             |        790 |          0 |          6 |        796 |
| Total                                                                                     |                    |     20,998 |         78 |      1,427 |     22,503 |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
