"filename", "language", "Docker", "Python", "Go Module File", "Go Checksum File", "Go", "TypeScript", "JSON", "Dotenv", "Ignore", "JSON with Comments", "JavaScript", "vue", "HTML", "PostCSS", "XML", "comment", "blank", "total"
"c:\Proyectos\capacitaciones'mh\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Proyectos\capacitaciones'mh\frontend\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Proyectos\capacitaciones'mh\frontend\src\stores\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Proyectos\capacitaciones'mh\frontend\src\stores\counter.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Proyectos\capacitaciones'mh\frontend\src\utils\recaptcha.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Proyectos\capacitaciones'mh\frontend\src\utils\toast.ts", "TypeScript", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 130
"c:\Proyectos\capacitaciones'mh\frontend\src\views\AboutView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Proyectos\capacitaciones'mh\frontend\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Proyectos\capacitaciones'mh\frontend\src\views\LoginView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 449, 0, 0, 0, 0, 38, 487
"c:\Proyectos\capacitaciones'mh\frontend\src\views\UnirseView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 15, 157
"c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\AdminDashboard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 20, 210
"c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\AdminLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 7, 105
"c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\CapacitacionesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 547, 0, 0, 0, 0, 49, 596
"c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\ExamenesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 28, 311
"c:\Proyectos\capacitaciones'mh\frontend\src\views\admin\UsuariosView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 27, 298
"c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\CapacitacionesInstructor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 26, 251
"c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\EstudiantesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 19, 286
"c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\ExamenesInstructor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 705, 0, 0, 0, 1, 64, 770
"c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\InstructorLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 7, 105
"c:\Proyectos\capacitaciones'mh\frontend\src\views\instructor\InstructorPerfilView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 20, 275
